import time: self [us] | cumulative | imported package
import time:     22673 |      23535 |               torchgen.model
import time:       896 |      90076 |             torch.utils._python_dispatch
import time:      3791 |      94732 |           torch.nn.modules.module
import time:       193 |        193 |                   torch.distributed.autograd
import time:       165 |        165 |                     torch.futures
import time:        89 |         89 |                     torch.distributed.rpc._utils
import time:        55 |         55 |                     torch.distributed.rpc.constants
import time:       343 |        343 |                     torch.distributed.rpc.internal
import time:       515 |       1165 |                   torch.distributed.rpc.api
import time:       341 |        341 |                   torch.distributed.rpc.backend_registry
import time:        93 |         93 |                   torch.distributed.rpc.functions
import time:       161 |        161 |                   torch.distributed.rpc.options
import time:       134 |        134 |                               email
import time:       109 |        109 |                                   zipfile._path.glob
import time:       472 |        580 |                                 zipfile._path
import time:       556 |       1136 |                               zipfile
import time:       244 |        244 |                               importlib.metadata._meta
import time:       181 |        181 |                               importlib.metadata._collections
import time:       116 |        116 |                               importlib.metadata._functools
import time:        72 |         72 |                               importlib.metadata._itertools
import time:       214 |        214 |                                     importlib.resources.abc
import time:       223 |        437 |                                   importlib.resources._common
import time:        88 |         88 |                                   importlib.resources._functional
import time:       101 |        625 |                                 importlib.resources
import time:      3251 |       3875 |                               importlib.abc
import time:      4014 |       9770 |                             importlib.metadata
import time:        71 |         71 |                                       torch._functorch
import time:       158 |        158 |                                           torch.utils._contextlib
import time:       183 |        340 |                                         torch.autograd.grad_mode
import time:       308 |        648 |                                       torch.autograd.forward_ad
import time:       281 |       1000 |                                     torch._functorch.pyfunctorch
import time:       798 |       1797 |                                   torch._ops
import time:      3581 |       3581 |                                   torch._library.utils
import time:       657 |       6034 |                                 torch._library.autograd
import time:       190 |        190 |                                 torch._library.fake_impl
import time:       178 |        178 |                                   torch._library.effects
import time:       203 |        380 |                                 torch._library.simple_registry
import time:       323 |        323 |                                 torch._library.fake_class_registry
import time:        53 |         53 |                                   torch.utils._exposed_in
import time:       352 |        352 |                                   torch._library.custom_ops
import time:       397 |        397 |                                     torch._library.opaque_object
import time:      3426 |       3823 |                                   torch._library.infer_schema
import time:       208 |       4434 |                                 torch._library.triton
import time:       186 |      11545 |                               torch._library
import time:        24 |      11569 |                             torch._library.opaque_object
import time:      7924 |      29262 |                           torch.utils._pytree
import time:       124 |      29385 |                         torch._vmap_internals
import time:       203 |        203 |                         torch.autograd.functional
